age,height_cm,overall,potential,value_eur,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_heading_accuracy,skill_dribbling,skill_ball_control,movement_reactions,power_jumping,power_strength,mentality_vision,pace_median
20,183,50,62,50000,1,4,2,High/Medium,SUB,41,53,52,51,60,59,44,68.0
17,184,55,71,130000,1,3,1,Medium/Medium,SUB,14,10,17,41,43,62,39,68.0
25,173,67,72,900000,1,3,3,High/Medium,SUB,55,65,66,64,44,60,60,76.0
25,175,73,77,4700000,1,3,2,Medium/High,CDM,58,60,74,68,56,72,66,76.0
20,173,53,68,130000,1,3,2,High/Medium,SUB,51,58,55,46,50,47,51,67.0
32,188,77,77,7000000,1,3,2,High/High,RES,78,74,74,82,78,83,76,51.0
21,175,64,78,1000000,0,3,3,Medium/Medium,RES,49,69,68,59,52,53,51,71.0
19,189,55,71,140000,1,2,1,Medium/Medium,SUB,14,7,11,39,41,57,24,68.0
33,182,74,74,2700000,1,3,2,Medium/High,RCB,68,68,70,73,76,75,63,71.0
22,180,66,74,925000,1,2,2,Medium/Medium,SUB,57,66,70,61,67,70,58,67.0
23,188,63,68,500000,1,3,2,Medium/Medium,SUB,63,60,62,57,64,71,49,62.0
20,193,65,78,1100000,1,3,3,Medium/Medium,ST,63,64,66,64,66,74,60,61.0
20,175,53,63,100000,1,3,2,Medium/Medium,RES,38,58,59,48,81,61,41,65.0
22,187,57,69,170000,1,3,2,Medium/High,SUB,55,35,41,50,76,72,35,55.0
29,195,66,66,550000,1,3,2,Medium/High,RES,67,37,57,64,57,82,37,38.0
21,181,83,88,35000000,1,2,3,High/Medium,RM,63,84,83,81,75,73,74,94.0
23,185,57,64,150000,1,3,3,High/Medium,SUB,45,60,59,52,58,62,52,72.0
22,168,63,69,450000,1,3,2,Medium/Medium,RCM,55,66,62,60,68,56,62,73.0
23,187,75,84,10500000,0,3,4,Medium/Medium,RM,52,75,76,74,64,69,77,72.0
21,173,56,68,160000,1,3,3,Medium/Medium,RES,41,58,60,46,57,53,61,71.0
23,185,66,72,800000,1,3,2,Medium/Medium,SUB,55,62,64,62,67,69,68,55.0
24,188,60,67,250000,0,2,2,Medium/High,LCB,59,51,52,54,76,69,40,63.0
24,173,76,79,10000000,1,4,4,Medium/Medium,SUB,37,78,79,75,60,51,76,67.0
21,187,53,68,120000,1,3,2,Medium/High,SUB,52,45,50,40,76,74,50,66.0
25,184,62,67,350000,0,3,2,Medium/Medium,LB,51,58,60,59,60,69,55,73.0
20,187,65,78,850000,1,3,1,Medium/Medium,SUB,21,19,24,53,63,59,45,68.0
28,172,73,73,4000000,1,4,3,Medium/Medium,RAM,66,73,73,69,92,60,71,92.0
27,191,74,75,4600000,1,3,1,Medium/Medium,SUB,13,19,23,70,67,60,38,68.0
33,186,67,67,400000,1,2,1,Medium/Medium,GK,14,15,23,67,60,67,13,68.0
23,171,67,71,875000,1,2,3,Medium/Medium,SUB,58,63,70,65,63,60,35,72.0
20,188,63,73,550000,1,3,2,Medium/Medium,SUB,55,61,65,55,59,73,51,54.0
26,183,75,78,8000000,1,3,3,High/Medium,SUB,57,76,77,72,72,72,76,62.0
22,170,60,69,275000,0,3,2,Medium/Medium,SUB,44,55,58,42,77,60,34,77.0
18,188,50,68,50000,1,3,1,Medium/Medium,SUB,11,8,11,31,58,30,39,68.0
19,185,57,68,140000,1,2,1,Medium/Medium,RES,11,6,10,52,42,51,24,68.0
26,185,57,60,130000,1,3,2,Medium/Medium,RS,55,55,54,53,70,70,45,71.0
27,180,69,69,1100000,1,4,3,High/Medium,LCM,44,70,69,65,40,66,73,76.0
28,190,79,80,10500000,1,3,1,Medium/Medium,GK,12,15,22,79,72,67,34,68.0
29,185,67,67,750000,1,3,4,High/Medium,SUB,58,66,69,67,66,68,55,72.0
29,185,66,66,550000,1,3,2,Medium/High,RES,70,41,46,60,81,80,40,42.0
22,172,69,77,1500000,1,3,3,Medium/Medium,LM,30,73,71,59,71,48,69,76.0
29,188,81,81,14500000,0,3,3,High/Low,LB,83,78,83,82,73,76,67,65.0
22,171,70,80,2800000,1,4,2,Medium/Medium,RDM,51,70,70,60,50,67,74,71.0
26,177,73,74,4700000,0,3,3,High/Medium,SUB,48,75,74,70,70,59,67,87.0
28,190,59,62,140000,1,1,1,Medium/Medium,SUB,14,6,14,58,62,49,45,68.0
24,185,66,73,825000,0,2,2,High/Medium,LCM,59,61,62,67,70,71,59,67.0
21,188,61,75,550000,1,3,3,High/Medium,SUB,62,57,56,59,65,73,43,76.0
19,194,59,73,300000,1,3,2,High/Medium,LCB,67,51,58,44,65,78,23,65.0
19,187,63,76,650000,1,3,2,Medium/High,RES,64,36,58,58,77,63,33,61.0
35,181,63,63,150000,1,3,2,Medium/Medium,SUB,56,58,61,62,75,69,66,69.0
31,174,61,61,180000,0,2,2,Medium/Medium,LWB,56,49,50,64,58,57,57,68.0
28,187,66,67,625000,1,2,2,Medium/Medium,RCB,64,44,50,65,86,81,31,78.0
22,190,67,74,975000,1,2,2,Medium/Medium,SUB,71,54,58,51,76,82,38,45.0
33,184,67,67,375000,1,3,3,Medium/High,RDM,50,55,69,68,51,76,62,66.0
19,172,53,67,130000,1,3,2,Medium/Medium,SUB,40,50,51,45,56,45,61,68.0
28,186,79,79,9500000,1,3,1,Medium/Medium,GK,7,18,20,76,60,60,60,68.0
25,181,63,67,475000,1,4,2,High/Medium,ST,61,61,65,57,72,73,55,72.0
26,180,77,78,9000000,0,2,3,High/Medium,LB,73,76,74,74,76,74,65,70.0
20,182,58,72,250000,0,3,2,Medium/Medium,LB,54,51,50,53,72,70,35,70.0
33,187,65,65,300000,1,3,1,Medium/Medium,GK,9,5,16,59,54,34,30,68.0
30,187,57,57,80000,1,3,2,Low/Medium,RWB,60,48,54,53,50,75,43,34.0
30,185,66,66,0,1,3,1,Medium/Medium,Missing,15,19,21,66,55,66,12,68.0
29,185,57,57,100000,1,3,2,Medium/High,SUB,43,51,59,57,64,63,58,55.0
30,185,70,70,1400000,1,3,2,Medium/Medium,LDM,72,63,67,67,85,72,50,63.0
29,173,67,67,650000,1,3,3,Medium/High,SUB,47,66,69,61,84,75,60,86.0
30,175,70,70,1700000,1,3,3,Medium/Medium,RM,46,73,70,65,75,44,59,85.0
25,188,63,66,350000,1,3,1,Medium/Medium,GK,12,12,19,62,53,67,35,68.0
22,178,61,72,400000,1,5,2,Medium/Medium,SUB,42,58,66,59,58,52,56,64.0
29,170,63,63,350000,1,3,2,Medium/Low,SUB,27,72,73,56,51,46,56,76.0
34,194,75,75,3500000,1,4,3,High/Medium,ST,90,61,71,82,80,93,74,44.0
29,165,73,73,0,0,2,4,Medium/Low,Missing,25,76,78,63,77,47,74,78.0
21,180,63,73,550000,1,3,2,Medium/Medium,SUB,54,56,62,53,67,62,44,70.0
26,192,64,68,525000,1,2,3,Medium/Medium,SUB,71,64,63,58,45,83,56,52.0
29,180,66,66,650000,0,3,3,Medium/Low,LAM,68,61,59,69,67,76,51,71.0
36,179,66,66,200000,1,4,3,Medium/High,CM,63,65,67,78,62,75,68,34.0
29,177,70,70,1700000,1,2,4,Medium/Medium,SUB,51,75,72,68,42,57,71,65.0
26,179,66,68,675000,0,3,3,Medium/Medium,LB,57,64,65,57,64,63,57,67.0
19,175,61,77,550000,0,3,3,Medium/Medium,RES,40,68,69,54,50,48,60,73.0
25,183,61,66,350000,1,3,3,Medium/Medium,RES,63,57,60,59,66,69,57,70.0
25,182,67,68,900000,1,4,3,Medium/Medium,LM,54,69,66,55,67,65,65,74.0
27,179,63,64,425000,1,4,2,High/High,SUB,49,64,64,66,80,64,55,79.0
24,176,61,68,325000,1,2,2,Low/Medium,SUB,43,53,56,55,66,69,54,66.0
27,185,65,66,600000,0,3,3,High/Medium,LCM,62,66,64,63,50,64,67,75.0
19,178,63,80,800000,1,3,3,High/Medium,SUB,54,68,67,60,52,48,63,66.0
30,171,73,73,3800000,1,4,4,High/Medium,CAM,61,77,77,70,67,63,70,63.0
31,190,65,65,350000,1,3,1,Medium/Medium,SUB,13,14,21,58,52,66,42,68.0
20,183,72,85,5500000,0,4,3,High/Medium,RES,54,75,73,71,58,76,62,87.0
35,179,67,67,230000,1,3,2,Low/Medium,LCB,63,37,59,59,78,65,41,40.0
28,173,76,76,8000000,1,3,3,Medium/Medium,LAM,63,79,78,74,65,54,76,78.0
24,179,77,81,10000000,0,3,4,High/Medium,LB,69,80,80,77,72,54,79,79.0
21,180,62,75,550000,1,3,2,High/Medium,RES,65,59,61,65,73,66,57,75.0
20,179,51,66,80000,0,3,2,Medium/Medium,RES,31,51,49,37,42,41,40,76.0
33,183,67,67,350000,0,2,3,High/Medium,SUB,67,73,68,67,77,65,64,73.0
29,190,67,67,650000,0,3,2,Medium/Medium,SUB,72,49,57,54,59,78,37,48.0
22,174,64,72,650000,1,3,3,High/Medium,SUB,41,64,68,64,71,68,59,74.0
27,180,77,78,10000000,1,4,3,High/Low,SUB,57,82,80,77,69,68,77,75.0
21,185,62,73,475000,1,3,2,Medium/Medium,CDM,51,55,59,56,57,70,55,50.0
24,172,62,67,400000,0,3,3,Medium/High,SUB,45,60,65,63,67,43,60,71.0
37,179,68,68,90000,1,3,1,Medium/Medium,GK,21,13,21,66,71,53,37,68.0
24,186,74,74,5500000,1,3,2,Medium/Medium,LDM,66,74,75,76,75,69,77,69.0
20,177,73,73,4000000,1,3,2,Low/Medium,CDM,71,58,60,64,66,62,65,71.0
31,194,80,80,11000000,0,3,3,Low/Medium,LDM,74,78,78,79,65,84,71,44.0
26,175,75,75,7000000,1,4,4,Medium/Low,SUB,35,86,83,62,41,52,73,78.0
24,184,79,84,17000000,1,3,4,Medium/Medium,LS,78,80,80,80,84,73,71,71.0
25,193,62,67,300000,1,3,1,Medium/Medium,GK,12,21,34,55,74,72,45,68.0
21,188,61,75,475000,1,2,1,Medium/Medium,RES,13,10,14,60,64,52,25,68.0
29,182,80,80,12000000,1,3,3,High/Medium,RB,65,73,74,78,73,75,62,75.0
19,173,52,70,100000,1,4,2,Medium/Medium,SUB,39,46,46,47,61,58,42,67.0
31,184,66,66,475000,1,2,2,Low/Medium,RCB,67,49,71,62,63,70,20,57.0
18,178,65,80,1100000,1,3,3,High/Medium,SUB,60,64,61,58,58,65,52,81.0
25,185,53,56,70000,1,3,2,Medium/Medium,RES,41,56,55,44,54,60,46,65.0
19,178,74,86,10000000,0,3,4,High/Low,RW,41,79,77,73,51,63,71,85.0
24,176,72,72,3000000,1,3,2,Medium/Medium,LCM,55,68,59,72,75,69,75,48.0
20,183,78,86,15500000,0,3,3,High/High,LM,59,81,79,75,68,65,77,76.0
30,192,69,69,850000,0,3,2,Medium/Medium,SUB,74,30,55,56,76,90,23,50.0
24,178,70,70,1700000,0,3,2,Medium/Medium,SUB,60,49,53,73,42,68,43,66.0
31,191,64,64,325000,1,3,2,Medium/Medium,SUB,66,53,52,64,59,82,46,50.0
26,178,66,68,775000,1,3,3,High/Medium,RES,52,76,68,55,72,58,57,73.0
18,188,53,67,110000,1,3,2,Medium/High,SUB,52,50,49,52,64,67,36,57.0
30,180,79,79,12000000,1,4,4,High/High,ST,72,78,79,75,83,81,78,83.0
36,190,71,71,0,1,3,1,Medium/Medium,Missing,20,16,25,73,57,72,54,68.0
18,170,65,81,1100000,0,2,3,High/Low,SUB,44,71,68,56,41,44,61,77.0
34,173,70,70,900000,1,4,4,Medium/Low,SUB,47,74,70,68,60,59,73,59.0
23,180,76,80,10000000,1,4,3,High/Medium,CAM,53,84,80,72,68,59,74,75.0
22,188,63,71,550000,1,2,2,Medium/Medium,SUB,57,59,64,61,59,68,54,74.0
22,173,67,76,1100000,0,3,2,Medium/Medium,LB,49,65,64,62,58,57,45,74.0
29,178,64,64,450000,1,3,2,Medium/Medium,SUB,72,62,64,57,72,70,48,73.0
23,180,58,68,190000,1,3,2,Medium/Medium,LCB,56,28,38,54,70,62,27,50.0
22,186,63,74,575000,1,3,2,Medium/Medium,RCB,56,55,60,63,81,75,55,55.0
30,181,63,63,350000,1,3,2,Medium/Medium,LDM,52,60,61,68,60,73,66,66.0
27,183,69,69,1100000,1,3,2,Medium/Medium,SUB,67,68,68,66,65,70,51,67.0
28,170,72,72,2700000,1,4,2,Medium/Medium,RB,47,61,67,68,66,45,56,78.0
17,189,49,72,60000,1,2,2,Medium/Medium,RES,48,24,33,49,74,50,26,56.0
25,180,75,78,7500000,0,2,3,High/Medium,RES,67,74,75,74,75,64,55,78.0
27,170,66,66,675000,1,3,2,High/Medium,LM,47,70,63,62,70,51,58,82.0
20,189,57,65,120000,1,2,1,Medium/Medium,RES,12,8,18,60,62,49,26,68.0
27,185,68,69,1000000,1,3,2,High/Low,ST,69,60,63,65,75,78,51,68.0
33,178,61,61,110000,0,3,2,High/Medium,LWB,49,59,61,58,71,58,58,68.0
26,180,60,61,240000,1,3,2,Medium/Medium,LCM,52,56,60,60,76,66,58,65.0
23,184,76,81,9000000,1,3,3,High/High,RB,59,71,73,71,84,74,65,91.0
25,184,80,83,16500000,0,3,2,High/Medium,SUB,75,66,76,80,86,79,65,75.0
19,177,60,75,450000,1,3,2,Medium/High,RES,60,62,63,54,74,63,58,67.0
28,172,70,70,1800000,1,4,3,Medium/Medium,RS,65,75,72,77,70,49,54,78.0
22,173,75,82,8500000,0,3,3,Medium/Medium,LDM,62,78,78,74,78,58,72,71.0
36,189,76,76,1600000,0,4,2,Low/High,LCB,78,57,74,72,65,83,62,33.0
21,184,61,74,500000,1,2,2,Medium/Medium,ST,57,61,59,54,63,64,54,64.0
29,184,69,69,1100000,1,2,3,Medium/High,SUB,60,73,73,69,60,56,66,73.0
21,192,58,66,170000,1,3,2,Medium/Medium,RES,57,35,37,53,69,67,28,50.0
26,203,64,67,500000,0,2,2,Low/Low,SUB,72,36,52,56,31,92,31,43.0
23,183,75,84,10500000,0,4,4,High/Medium,RAM,52,81,82,72,59,60,71,78.0
20,175,55,67,140000,1,3,2,Medium/Low,SUB,34,57,58,50,33,50,55,62.0
28,186,63,64,350000,1,2,2,Medium/Medium,RCB,62,32,47,58,53,74,34,47.0
30,163,72,72,2900000,1,4,4,Medium/Medium,SUB,36,75,70,64,54,27,67,89.0
28,175,65,65,550000,0,2,2,High/Medium,SUB,69,68,69,70,65,70,57,73.0
20,172,78,88,17000000,0,2,4,High/Medium,RAM,45,84,84,74,57,54,77,90.0
27,187,61,62,250000,1,3,2,Medium/Medium,RES,73,58,57,58,73,76,70,51.0
31,190,71,71,1800000,1,2,3,Medium/Medium,CDM,77,65,69,65,87,88,67,61.0
26,178,64,67,500000,0,2,2,Medium/Medium,SUB,58,49,62,57,66,59,39,63.0
19,191,53,68,110000,1,3,1,Medium/Medium,SUB,12,10,19,36,40,56,30,68.0
21,168,75,83,10000000,0,3,3,High/Medium,RCM,50,83,78,69,53,45,74,82.0
27,188,65,67,575000,0,3,2,Medium/High,LB,60,57,60,61,65,84,35,65.0
17,171,52,72,100000,1,3,3,High/Medium,SUB,28,59,55,43,66,41,51,78.0
27,180,60,61,230000,1,4,3,Medium/Medium,RCM,48,58,62,58,69,61,60,59.0
21,171,66,75,1000000,0,3,4,High/Medium,SUB,38,69,71,55,45,37,62,77.0
24,187,66,73,825000,0,3,2,Medium/Medium,SUB,66,39,64,65,69,65,36,60.0
21,186,56,70,190000,1,2,2,Low/Medium,RES,52,25,35,42,71,70,33,53.0
26,165,62,64,375000,0,3,3,High/Medium,SUB,49,62,63,61,59,63,60,75.0
20,178,62,73,475000,1,3,2,High/Medium,RWB,50,58,60,55,63,59,51,75.0
