iter	RMSE
0	6.410063856
1	5.874659079
2	5.378828993
3	4.940511693
4	4.540183706
5	4.166140356
6	3.833808434
7	3.521183897
8	3.263825221
9	3.023470014
10	2.801107482
11	2.587427659
12	2.390366851
13	2.204323714
14	2.056565566
15	1.904845617
16	1.77649191
17	1.662431826
18	1.557819701
19	1.471817687
20	1.379935138
21	1.302195066
22	1.233673004
23	1.170215222
24	1.117456376
25	1.067096318
26	1.02613029
27	0.9883969201
28	0.9553835909
29	0.9257911989
30	0.8985108539
31	0.8740111981
32	0.8496000729
33	0.8270832354
34	0.8091257832
35	0.7925330635
36	0.7761186865
37	0.7643093001
38	0.7504888482
39	0.7373667319
40	0.7253605961
41	0.7163715784
42	0.709037596
43	0.7009038842
44	0.6935021157
45	0.6874685741
46	0.6792470827
47	0.6736431545
48	0.665554567
49	0.6593435231
50	0.6533513309
51	0.649518234
52	0.644556117
53	0.6415139706
54	0.6378122236
55	0.6330359226
56	0.6302107715
57	0.6273656539
58	0.6221688193
59	0.6198070387
60	0.6162578665
61	0.6138928038
62	0.6101262297
63	0.6072079854
64	0.6054354211
65	0.6010016427
66	0.598925058
67	0.5941039795
68	0.5917337479
69	0.5891143948
70	0.5852401404
71	0.583034576
72	0.5816840107
73	0.5802137449
74	0.5789539318
75	0.5770693094
76	0.574887194
77	0.5718821594
78	0.5689500138
79	0.5675597983
80	0.5662109696
81	0.5622388951
82	0.5589096195
83	0.5580123663
84	0.5553530638
85	0.5536588142
86	0.5518177236
87	0.5487970845
88	0.5475570462
89	0.5464099605
90	0.5451284634
91	0.5429561222
92	0.5405370231
93	0.5370269333
94	0.5356371906
95	0.5326536725
96	0.5309525821
97	0.5261699046
98	0.5232733895
99	0.5210267791
