iter	Passed	Remaining
0	13	1319
1	27	1352
2	42	1376
3	55	1341
4	68	1310
5	82	1286
6	95	1263
7	109	1258
8	123	1245
9	135	1219
10	148	1202
11	161	1187
12	174	1169
13	190	1168
14	203	1152
15	216	1138
16	230	1123
17	243	1109
18	257	1096
19	270	1080
20	284	1071
21	311	1104
22	326	1093
23	341	1082
24	354	1064
25	367	1046
26	380	1030
27	394	1015
28	408	1000
29	421	983
30	434	967
31	447	951
32	461	937
33	475	922
34	489	908
35	502	893
36	515	877
37	528	862
38	543	850
39	556	834
40	570	820
41	582	804
42	596	790
43	609	776
44	622	760
45	636	747
46	649	732
47	664	719
48	677	705
49	691	691
50	704	676
51	716	661
52	731	648
53	743	633
54	756	619
55	769	604
56	782	590
57	796	576
58	808	562
59	821	547
60	835	534
61	848	520
62	861	505
63	874	492
64	888	478
65	901	464
66	914	450
67	927	436
68	940	422
69	953	408
70	966	394
71	979	380
72	993	367
73	1005	353
74	1018	339
75	1032	326
76	1045	312
77	1058	298
78	1073	285
79	1086	271
80	1099	258
81	1113	244
82	1126	230
83	1139	217
84	1153	203
85	1166	189
86	1180	176
87	1195	162
88	1207	149
89	1220	135
90	1234	122
91	1252	108
92	1277	96
93	1290	82
94	1304	68
95	1318	54
96	1331	41
97	1344	27
98	1357	13
99	1371	0
