iter	RMSE
0	6.675221763
1	6.318689432
2	5.984222215
3	5.669509859
4	5.39430705
5	5.10516436
6	4.850330864
7	4.594020756
8	4.361888025
9	4.138328115
10	3.931889981
11	3.732547256
12	3.555173504
13	3.390235375
14	3.230385852
15	3.080249116
16	2.92802686
17	2.799985446
18	2.674329832
19	2.549696393
20	2.435760127
21	2.331276235
22	2.232637631
23	2.137406871
24	2.05336011
25	1.968791739
26	1.887635411
27	1.811489207
28	1.737267799
29	1.678801779
30	1.618719207
31	1.560910282
32	1.511732695
33	1.458427822
34	1.409928198
35	1.363627934
36	1.321640586
37	1.281783011
38	1.245565688
39	1.212203701
40	1.181137301
41	1.152902804
42	1.128268975
43	1.102146196
44	1.076547611
45	1.052518816
46	1.031641681
47	1.0139726
48	0.9958392049
49	0.9791499857
50	0.9633426869
51	0.9483617512
52	0.9344708491
53	0.921787954
54	0.9089555083
55	0.8944498401
56	0.8814447634
57	0.869715631
58	0.8596923561
59	0.8504638307
60	0.8419969414
61	0.8324204514
62	0.8262839213
63	0.8186544368
64	0.8133178619
65	0.8070392139
66	0.8005403398
67	0.7953172951
68	0.7900006101
69	0.7859157107
70	0.780763699
71	0.7750427877
72	0.7687077635
73	0.7645374133
74	0.7591106763
75	0.7532173327
76	0.7500502158
77	0.7453078675
78	0.742229895
79	0.7394753972
80	0.7349378388
81	0.7316329559
82	0.7283922859
83	0.7259859931
84	0.7207772477
85	0.7185722544
86	0.7168759485
87	0.7149336388
88	0.7122476998
89	0.7077235904
90	0.7040127064
91	0.7023912022
92	0.6994361482
93	0.6979285222
94	0.6963428045
95	0.6948696819
96	0.6927617654
97	0.6908408108
98	0.6876993138
99	0.6845574608
100	0.6820719713
101	0.6807860325
102	0.6774058565
103	0.6757888257
104	0.6747514655
105	0.6735851944
106	0.6715992519
107	0.6700384982
108	0.6663036124
109	0.6648164979
110	0.6634268662
111	0.6614424323
112	0.6599994775
113	0.6572783015
114	0.6563767592
115	0.6534420397
116	0.6510148424
117	0.6489626061
118	0.647803653
119	0.6460092536
120	0.6421482465
121	0.6408203497
122	0.6396224058
123	0.6388312149
124	0.6373303218
125	0.6347986825
126	0.6325915517
127	0.6305724582
128	0.6290820503
129	0.6267186723
130	0.6249573976
131	0.6228539537
132	0.6215652484
133	0.6201663371
134	0.617854582
135	0.617250352
136	0.6166990209
137	0.6148127705
138	0.6127811893
139	0.6113223989
140	0.609290603
141	0.6072051959
142	0.6054181247
143	0.6039634396
144	0.6026860686
145	0.6008760165
146	0.5997100287
147	0.5987673038
148	0.5975737161
149	0.5968253669
150	0.5955552755
151	0.5937886233
152	0.5923080955
153	0.5910169122
154	0.5897419953
155	0.5890132038
156	0.5874752255
157	0.5859429587
158	0.5840445687
159	0.5819131271
160	0.5809112051
161	0.5800693949
162	0.5791583059
163	0.5769641898
164	0.5761905595
165	0.5754165585
166	0.5742950015
167	0.5729009701
168	0.5721083668
169	0.5708049057
170	0.5692701902
171	0.5682214475
172	0.5666788111
173	0.5647661405
174	0.5632006168
175	0.5619765514
176	0.5605640845
177	0.5590118656
178	0.5579431611
179	0.5569952003
180	0.5562936786
181	0.5546971873
182	0.5539439192
183	0.5528596946
184	0.5517650036
185	0.5512050351
186	0.5502823439
187	0.5490523267
188	0.5484191341
189	0.5474805383
190	0.546740138
191	0.5460351101
192	0.5451737751
193	0.5438157801
194	0.5431949413
195	0.5423393263
196	0.5417717104
197	0.5413141231
198	0.5405099713
199	0.5401823912
200	0.5394321741
201	0.5385285301
202	0.5378077306
203	0.5373838651
204	0.5363072039
205	0.5357302066
206	0.5351719517
207	0.5346226282
208	0.5340414405
209	0.533126114
210	0.5323126841
211	0.5310637916
212	0.5305301606
213	0.5301580302
214	0.528766737
215	0.527450908
216	0.526752775
217	0.5262469795
218	0.5250859186
219	0.5234651059
220	0.5224241172
221	0.5220640277
222	0.5210901021
223	0.5200872245
224	0.5185904581
225	0.5174277791
226	0.5164313373
227	0.5150486417
228	0.5138584744
229	0.5128431912
230	0.5118670394
231	0.5112319617
232	0.5100949664
233	0.5093819148
234	0.5088014132
235	0.5079953249
236	0.5070891747
237	0.5067187397
238	0.5059819195
239	0.5047200323
240	0.503875344
241	0.5030112141
242	0.502515967
243	0.5016492667
244	0.5011655859
245	0.5004735814
246	0.5000055054
247	0.4995196958
248	0.4984611345
249	0.4979956604
250	0.497553157
251	0.4962931763
252	0.4958505934
253	0.4949143429
254	0.4941915235
255	0.4936527933
256	0.4930574725
257	0.492040474
258	0.4909433013
259	0.4901584911
260	0.4894018326
261	0.488295213
262	0.4879146257
263	0.4872171985
264	0.4867339687
265	0.4858373319
266	0.4850934553
267	0.4846485017
268	0.483976288
269	0.4837747124
270	0.4830222142
271	0.4825505201
272	0.4816776873
273	0.4807809673
274	0.4804484578
275	0.4798883726
276	0.4794853212
277	0.4789073048
278	0.4783387181
279	0.4779877462
280	0.477345232
281	0.4767782837
282	0.4761249962
283	0.475477309
284	0.4750150302
285	0.4743458725
286	0.4741023584
287	0.4733509738
288	0.4728091131
289	0.4720795468
290	0.4712626284
291	0.4707897457
292	0.4700825291
293	0.469431491
294	0.4687408301
295	0.4682552454
296	0.4678759032
297	0.4671276441
298	0.4662433858
299	0.4657461145
300	0.4652249698
301	0.464834727
302	0.4644240638
303	0.4635746108
304	0.4630893691
305	0.46290318
306	0.4623049117
307	0.4616576816
308	0.4610070686
309	0.4603345414
310	0.4595141979
311	0.4592811963
312	0.4587446577
313	0.4582916225
314	0.4578176947
315	0.4570088314
316	0.456430543
317	0.4558197873
318	0.4554120254
319	0.4549268298
320	0.4543158701
321	0.4539422831
322	0.4532426181
323	0.4528777427
324	0.4525247183
325	0.4521368083
326	0.4517419184
327	0.4512723837
328	0.4510242467
329	0.4506481521
330	0.4499315715
331	0.4493602772
332	0.4489353897
333	0.448320203
334	0.4480157927
335	0.4475499625
336	0.4471854404
337	0.4469088938
338	0.4464750319
339	0.4460282741
340	0.4453011078
341	0.44513663
342	0.4447804452
343	0.4445317661
344	0.4443634805
345	0.4440633545
346	0.4436338242
347	0.443236658
348	0.4427281537
349	0.4422567725
350	0.4419196639
351	0.4417134249
352	0.441455748
353	0.4409131792
354	0.4403260404
355	0.4396565774
356	0.4392337011
357	0.4385416155
358	0.4379479573
359	0.4377648056
360	0.437605637
361	0.4375047966
362	0.4369762715
363	0.4363135696
364	0.4359781181
365	0.4357169636
366	0.4354513201
367	0.4351475131
368	0.4347069676
369	0.4344484239
370	0.4341020709
371	0.433800036
372	0.4336905941
373	0.4332267943
374	0.4326880876
375	0.4322551117
376	0.431733331
377	0.4314233303
378	0.4310178035
379	0.4305291827
380	0.4302162754
381	0.4299300105
382	0.4297186234
383	0.4290976631
384	0.4288112707
385	0.4285164541
386	0.4281759342
387	0.427768968
388	0.4275195706
389	0.4271003072
390	0.426471697
391	0.4260670531
392	0.4256411767
393	0.4250648358
394	0.424820111
395	0.4241429539
396	0.4238700738
397	0.4235074906
398	0.4232779928
399	0.4227173481
400	0.422329516
401	0.4222021796
402	0.4221697102
403	0.4217521748
404	0.4214822125
405	0.4210772991
406	0.4208303823
407	0.4205432516
408	0.4205121662
409	0.4201251131
410	0.4199065716
411	0.4198789023
412	0.4196090202
413	0.4192180458
414	0.4187846552
415	0.4184484978
416	0.4182135885
417	0.4178159393
418	0.4174968687
419	0.4174694031
420	0.417166292
421	0.4168743807
422	0.4164276859
423	0.4161002088
424	0.4155157039
425	0.4149978558
426	0.4146509682
427	0.414066572
428	0.4137363636
429	0.4134617821
430	0.4131219574
431	0.4127582095
432	0.4123641454
433	0.4119203499
434	0.4117108967
435	0.4114498056
436	0.4111094043
437	0.4107604348
438	0.4106025374
439	0.4104278943
440	0.4101737076
441	0.4099652988
442	0.4094929181
443	0.4089942383
444	0.4087481025
445	0.4085125754
446	0.408102143
447	0.4078108609
448	0.4077022651
449	0.4074242549
450	0.4070677698
451	0.4068894212
452	0.4066795694
453	0.4062758022
454	0.4058952943
455	0.4055615643
456	0.4052880949
457	0.4050671642
458	0.4047925009
459	0.4043629854
460	0.404150877
461	0.403879891
462	0.4037581548
463	0.4035177891
464	0.4032263257
465	0.4030515288
466	0.4027752463
467	0.4024965087
468	0.4020127682
469	0.4016515132
470	0.4011310472
471	0.4008142703
472	0.4005652054
473	0.4003429707
474	0.4000737907
475	0.3997766248
476	0.3995405498
477	0.3993168345
478	0.3988913841
479	0.3986859684
480	0.3984809019
481	0.3981715917
482	0.3977679194
483	0.3975621273
484	0.3972607804
485	0.396875907
486	0.3964974303
487	0.3962127507
488	0.3959800426
489	0.3957042773
490	0.395318136
491	0.3951188552
492	0.3950292827
493	0.394842896
494	0.3945637627
