iter	Passed	Remaining
0	5	5666
1	12	6123
2	17	5957
3	22	5616
4	28	5689
5	33	5576
6	38	5437
7	43	5446
8	48	5384
9	54	5364
10	61	5499
11	67	5533
12	71	5459
13	77	5451
14	82	5443
15	87	5399
16	93	5383
17	98	5350
18	102	5309
19	109	5354
20	114	5321
21	118	5275
22	123	5258
23	129	5265
24	134	5239
25	139	5225
26	144	5206
27	149	5182
28	153	5146
29	159	5168
30	164	5154
31	169	5119
32	175	5143
33	179	5110
34	184	5084
35	189	5084
36	194	5059
37	198	5032
38	205	5057
39	210	5053
40	216	5057
41	227	5188
42	235	5234
43	245	5333
44	251	5328
45	257	5330
46	262	5315
47	267	5299
48	272	5296
49	277	5273
50	282	5255
51	288	5255
52	293	5239
53	297	5218
54	303	5221
55	309	5209
56	313	5182
57	318	5167
58	323	5155
59	328	5143
60	332	5125
61	338	5121
62	342	5100
63	347	5082
64	353	5084
65	358	5075
66	363	5059
67	368	5054
68	373	5041
69	378	5025
70	383	5020
71	388	5009
72	393	4998
73	398	4986
74	404	4990
75	409	4976
76	414	4963
77	420	4965
78	424	4945
79	428	4931
80	434	4925
81	438	4912
82	443	4897
83	448	4886
84	454	4891
85	458	4874
86	463	4867
87	468	4856
88	473	4843
89	481	4865
90	486	4858
91	491	4847
92	496	4837
93	501	4829
94	505	4820
95	510	4808
96	515	4802
97	520	4793
98	525	4782
99	530	4775
100	536	4774
101	541	4766
102	546	4762
103	552	4761
104	557	4748
105	562	4742
106	567	4733
107	571	4720
108	576	4713
109	581	4703
110	586	4693
111	590	4682
112	596	4680
113	600	4670
114	605	4659
115	611	4656
116	615	4647
117	620	4635
118	625	4631
119	630	4624
120	634	4612
121	640	4610
122	646	4609
123	651	4602
124	656	4595
125	661	4590
126	666	4579
127	670	4570
128	676	4564
129	680	4556
130	685	4547
131	690	4539
132	694	4530
133	699	4519
134	704	4511
135	709	4508
136	714	4498
137	718	4488
138	724	4485
139	729	4478
140	733	4467
141	737	4459
142	743	4453
143	747	4446
144	752	4438
145	758	4434
146	763	4428
147	767	4420
148	773	4415
149	777	4405
150	781	4396
151	787	4390
152	792	4384
153	796	4375
154	801	4368
155	806	4363
156	811	4357
157	816	4349
158	821	4346
159	826	4338
160	830	4330
161	835	4324
162	840	4316
163	845	4307
164	849	4298
165	855	4298
166	860	4293
167	865	4286
168	870	4281
169	875	4275
170	879	4264
171	884	4258
172	889	4251
173	894	4244
174	898	4236
175	904	4232
176	908	4225
177	913	4217
178	918	4212
179	922	4204
180	927	4196
181	931	4187
182	937	4184
183	941	4177
184	946	4168
185	951	4163
186	956	4158
187	961	4152
188	966	4147
189	972	4144
190	976	4136
191	983	4137
192	987	4130
193	992	4122
194	996	4114
195	1002	4113
196	1007	4105
197	1011	4097
198	1017	4095
199	1022	4089
200	1026	4081
201	1032	4079
202	1037	4074
203	1042	4067
204	1048	4065
205	1052	4057
206	1057	4050
207	1061	4043
208	1068	4045
209	1073	4040
210	1080	4041
211	1085	4035
212	1090	4030
213	1095	4024
214	1100	4019
215	1105	4013
216	1110	4006
217	1115	4002
218	1120	3996
219	1124	3988
220	1131	3987
221	1135	3980
222	1140	3973
223	1145	3967
224	1150	3963
225	1155	3958
226	1160	3953
227	1166	3948
228	1170	3941
229	1175	3935
230	1182	3935
231	1187	3931
232	1192	3925
233	1199	3926
234	1204	3920
235	1211	3922
236	1217	3920
237	1222	3915
238	1228	3911
239	1233	3906
240	1238	3901
241	1244	3897
242	1249	3891
243	1254	3887
244	1260	3883
245	1265	3877
246	1270	3873
247	1275	3868
248	1281	3864
249	1285	3856
250	1290	3850
251	1294	3842
252	1299	3836
253	1303	3829
254	1309	3824
255	1314	3819
256	1318	3813
257	1325	3810
258	1329	3804
259	1334	3798
260	1339	3793
261	1344	3787
262	1349	3781
263	1354	3775
264	1359	3770
265	1363	3763
266	1368	3757
267	1374	3754
268	1379	3749
269	1384	3742
270	1390	3741
271	1395	3735
272	1400	3730
273	1406	3726
274	1410	3719
275	1415	3712
276	1420	3707
277	1425	3703
278	1430	3696
279	1435	3690
280	1440	3686
281	1445	3680
282	1450	3674
283	1455	3669
284	1460	3662
285	1464	3656
286	1470	3653
287	1475	3647
288	1480	3641
289	1484	3634
290	1490	3631
291	1495	3626
292	1500	3620
293	1505	3614
294	1509	3607
295	1514	3601
296	1519	3597
297	1524	3591
298	1529	3585
299	1534	3581
300	1540	3577
301	1544	3570
302	1549	3565
303	1554	3559
304	1559	3553
305	1564	3547
306	1569	3542
307	1573	3536
308	1578	3530
309	1584	3527
310	1590	3523
311	1595	3517
312	1601	3515
313	1607	3511
314	1612	3506
315	1619	3504
316	1623	3498
317	1628	3492
318	1633	3487
319	1638	3481
320	1643	3475
321	1647	3469
322	1652	3463
323	1657	3457
324	1662	3453
325	1668	3449
326	1675	3447
327	1680	3442
328	1685	3437
329	1690	3432
330	1696	3429
331	1703	3426
332	1707	3420
333	1713	3417
334	1718	3411
335	1723	3405
336	1728	3401
337	1733	3395
338	1738	3389
339	1743	3383
340	1748	3378
341	1753	3372
342	1757	3365
343	1762	3361
344	1766	3354
345	1771	3348
346	1776	3343
347	1781	3337
348	1786	3331
349	1791	3326
350	1796	3321
351	1801	3316
352	1806	3310
353	1811	3306
354	1817	3302
355	1822	3296
356	1827	3292
357	1832	3286
358	1837	3280
359	1843	3276
360	1848	3271
361	1852	3265
362	1859	3262
363	1863	3256
364	1868	3250
365	1874	3246
366	1879	3241
367	1884	3236
368	1890	3233
369	1895	3228
370	1901	3224
371	1907	3220
372	1913	3216
373	1918	3211
374	1924	3207
375	1929	3201
376	1934	3196
377	1939	3191
378	1944	3185
379	1949	3180
380	1953	3174
381	1959	3169
382	1964	3164
383	1970	3160
384	1976	3157
385	1981	3151
386	1986	3146
387	1991	3141
388	1996	3136
389	2002	3131
390	2008	3128
391	2013	3123
392	2018	3117
393	2024	3113
394	2029	3108
395	2034	3102
396	2039	3097
397	2044	3092
398	2049	3086
399	2055	3083
400	2060	3078
401	2065	3073
402	2071	3068
403	2075	3062
404	2080	3056
405	2086	3052
406	2091	3047
407	2095	3040
408	2102	3037
409	2106	3031
410	2111	3025
411	2115	3018
412	2121	3015
413	2126	3009
414	2130	3003
415	2136	2998
416	2141	2994
417	2145	2987
418	2152	2984
419	2157	2979
420	2161	2972
421	2167	2968
422	2172	2962
423	2176	2957
424	2182	2952
425	2187	2947
426	2193	2943
427	2198	2938
428	2205	2935
429	2210	2930
430	2216	2925
431	2221	2920
432	2225	2914
433	2231	2910
434	2237	2906
435	2241	2900
436	2247	2896
437	2252	2890
438	2257	2884
439	2262	2879
440	2267	2874
441	2272	2868
442	2276	2862
443	2282	2858
444	2287	2853
445	2293	2848
446	2299	2844
447	2304	2839
448	2308	2832
449	2314	2828
450	2318	2822
451	2323	2817
452	2328	2812
453	2334	2807
454	2339	2801
455	2344	2797
456	2349	2791
457	2354	2786
458	2358	2780
459	2364	2775
460	2368	2769
461	2373	2763
462	2379	2759
463	2384	2754
464	2389	2748
465	2394	2744
466	2399	2738
467	2404	2733
468	2410	2728
469	2415	2723
470	2419	2717
471	2425	2712
472	2430	2708
473	2434	2702
474	2439	2696
475	2445	2692
476	2451	2687
477	2456	2682
478	2461	2677
479	2466	2672
480	2471	2666
481	2476	2661
482	2481	2656
483	2486	2651
484	2492	2647
485	2497	2641
486	2501	2635
487	2507	2630
488	2511	2624
489	2516	2618
490	2520	2613
491	2526	2608
492	2530	2602
493	2534	2596
494	2541	2593
495	2546	2588
496	2551	2582
497	2557	2578
498	2561	2571
499	2566	2566
500	2571	2561
501	2576	2556
502	2581	2550
503	2586	2545
504	2591	2540
505	2596	2534
506	2601	2530
507	2608	2526
508	2612	2520
509	2617	2515
510	2623	2510
511	2628	2505
512	2633	2499
513	2638	2495
514	2643	2489
515	2648	2484
516	2655	2480
517	2661	2476
518	2666	2471
519	2671	2466
520	2676	2460
521	2681	2455
522	2687	2450
523	2691	2445
524	2696	2439
525	2701	2434
526	2706	2429
527	2711	2423
528	2716	2418
529	2721	2413
530	2726	2407
531	2730	2402
532	2736	2397
533	2740	2391
534	2745	2386
535	2751	2382
536	2757	2377
537	2761	2371
538	2767	2367
539	2772	2361
540	2776	2355
541	2782	2350
542	2786	2345
543	2791	2340
544	2796	2334
545	2801	2329
546	2805	2323
547	2811	2318
548	2816	2313
549	2821	2308
550	2826	2302
551	2832	2298
552	2837	2293
553	2841	2287
554	2847	2282
555	2851	2277
556	2856	2271
557	2861	2266
558	2868	2262
559	2872	2257
560	2876	2250
561	2882	2246
562	2887	2241
563	2891	2235
564	2896	2230
565	2901	2225
566	2906	2219
567	2913	2215
568	2917	2210
569	2922	2204
570	2928	2200
571	2933	2195
572	2939	2190
573	2946	2186
574	2951	2181
575	2956	2176
576	2962	2171
577	2968	2167
578	2972	2161
579	2978	2157
580	2983	2151
581	2988	2146
582	2994	2141
583	2998	2136
584	3003	2130
585	3008	2125
586	3013	2119
587	3018	2114
588	3023	2109
589	3028	2104
590	3033	2099
591	3038	2093
592	3044	2089
593	3050	2085
594	3057	2080
595	3062	2075
596	3067	2070
597	3074	2066
598	3084	2064
599	3092	2061
600	3098	2057
601	3105	2053
602	3112	2049
603	3118	2044
604	3125	2040
605	3131	2035
606	3137	2031
607	3143	2027
608	3148	2021
609	3153	2016
610	3160	2012
611	3165	2007
612	3171	2002
613	3180	1999
614	3185	1994
615	3194	1991
616	3200	1986
617	3208	1983
618	3214	1978
619	3221	1974
620	3227	1969
621	3233	1965
622	3241	1961
623	3246	1956
624	3252	1951
625	3259	1947
626	3264	1942
627	3272	1938
628	3280	1934
629	3287	1930
630	3293	1926
631	3299	1920
632	3305	1916
633	3311	1911
634	3317	1906
635	3323	1902
636	3329	1897
637	3335	1892
638	3342	1888
639	3348	1883
640	3354	1878
641	3358	1872
642	3364	1867
643	3371	1863
644	3377	1859
645	3385	1855
646	3391	1850
647	3396	1845
648	3403	1840
649	3407	1834
650	3412	1829
651	3418	1824
652	3423	1819
653	3428	1814
654	3444	1814
655	3450	1809
656	3454	1803
657	3459	1798
658	3466	1793
659	3471	1788
660	3475	1782
661	3480	1777
662	3488	1773
663	3493	1767
664	3500	1763
665	3505	1757
666	3510	1752
667	3515	1747
668	3521	1742
669	3527	1737
670	3533	1732
671	3540	1728
672	3547	1723
673	3552	1718
674	3557	1712
675	3562	1707
676	3568	1702
677	3573	1696
678	3580	1692
679	3585	1687
680	3590	1681
681	3596	1677
682	3601	1671
683	3607	1666
684	3613	1661
685	3618	1656
686	3623	1650
687	3628	1645
688	3632	1639
689	3637	1634
690	3642	1628
691	3647	1623
692	3651	1617
693	3656	1612
694	3662	1607
695	3667	1601
696	3672	1596
697	3677	1591
698	3682	1585
699	3687	1580
700	3692	1575
701	3699	1570
702	3704	1564
703	3709	1559
704	3714	1554
705	3719	1548
706	3724	1543
707	3729	1538
708	3734	1532
709	3739	1527
710	3745	1522
711	3749	1516
712	3754	1511
713	3760	1506
714	3765	1500
715	3769	1495
716	3775	1490
717	3780	1484
718	3786	1479
719	3793	1475
720	3797	1469
721	3802	1464
722	3809	1459
723	3814	1454
724	3818	1448
725	3824	1443
726	3829	1437
727	3833	1432
728	3838	1427
729	3843	1421
730	3848	1416
731	3853	1410
732	3858	1405
733	3863	1400
734	3868	1394
735	3873	1389
736	3879	1384
737	3884	1378
738	3889	1373
739	3894	1368
740	3899	1363
741	3905	1357
742	3911	1353
743	3919	1348
744	3927	1344
745	3934	1339
746	3940	1334
747	3945	1329
748	3953	1324
749	3958	1319
750	3963	1314
751	3969	1309
752	3974	1303
753	3978	1298
754	3984	1292
755	3989	1287
756	3994	1282
757	3999	1276
758	4004	1271
759	4009	1266
760	4014	1260
761	4020	1255
762	4025	1250
763	4030	1245
764	4035	1239
765	4040	1234
766	4046	1229
767	4052	1224
768	4057	1218
769	4062	1213
770	4068	1208
771	4072	1202
772	4077	1197
773	4082	1192
774	4088	1186
775	4092	1181
776	4098	1176
777	4103	1170
778	4108	1165
779	4115	1160
780	4119	1155
781	4125	1149
782	4130	1144
783	4135	1139
784	4140	1134
785	4146	1128
786	4152	1123
787	4157	1118
788	4162	1113
789	4167	1107
790	4172	1102
791	4177	1097
792	4183	1092
793	4188	1086
794	4194	1081
795	4199	1076
796	4203	1070
797	4208	1065
798	4214	1060
799	4218	1054
800	4223	1049
801	4229	1044
802	4235	1039
803	4239	1033
804	4245	1028
805	4250	1023
806	4254	1017
807	4260	1012
808	4265	1007
809	4269	1001
810	4274	996
811	4279	990
812	4284	985
813	4288	979
814	4294	974
815	4299	969
816	4305	964
817	4311	959
818	4317	954
819	4321	948
820	4327	943
821	4332	938
822	4337	932
823	4343	927
824	4348	922
825	4353	917
826	4358	911
827	4363	906
828	4368	901
829	4373	895
830	4379	890
831	4384	885
832	4390	880
833	4395	874
834	4400	869
835	4405	864
836	4410	858
837	4415	853
838	4420	848
839	4425	842
840	4429	837
841	4434	832
842	4440	827
843	4446	821
844	4451	816
845	4457	811
846	4461	805
847	4466	800
848	4471	795
849	4475	789
850	4480	784
851	4485	779
852	4490	773
853	4494	768
854	4499	763
855	4505	757
856	4510	752
857	4515	747
858	4520	742
859	4525	736
860	4531	731
861	4537	726
862	4543	721
863	4548	715
864	4554	710
865	4559	705
866	4565	700
867	4571	695
868	4576	689
869	4581	684
870	4587	679
871	4592	674
872	4597	668
873	4603	663
874	4608	658
875	4613	653
876	4618	647
877	4623	642
878	4628	637
879	4633	631
880	4638	626
881	4643	621
882	4648	615
883	4654	610
884	4659	605
885	4664	600
886	4669	594
887	4674	589
888	4678	584
889	4684	578
890	4688	573
891	4693	568
892	4699	563
893	4703	557
894	4709	552
895	4718	547
896	4725	542
897	4730	537
898	4735	532
899	4740	526
900	4746	521
901	4751	516
902	4755	510
903	4762	505
904	4767	500
905	4772	495
906	4778	490
907	4783	484
908	4788	479
909	4793	474
910	4798	468
911	4802	463
912	4807	458
913	4812	452
914	4817	447
915	4823	442
916	4830	437
917	4835	431
918	4840	426
919	4846	421
920	4851	416
921	4856	410
922	4863	405
923	4870	400
924	4875	395
925	4880	390
926	4886	384
927	4892	379
928	4897	374
929	4903	369
930	4908	363
931	4914	358
932	4920	353
933	4927	348
934	4932	342
935	4937	337
936	4943	332
937	4948	327
938	4952	321
939	4958	316
940	4962	311
941	4966	305
942	4972	300
943	4978	295
944	4983	290
945	4988	284
946	4993	279
947	4998	274
948	5003	268
949	5008	263
950	5013	258
951	5018	253
952	5024	247
953	5029	242
954	5034	237
955	5039	231
956	5044	226
957	5050	221
958	5060	216
959	5064	211
960	5070	205
961	5078	200
962	5083	195
963	5089	190
964	5096	184
965	5101	179
966	5107	174
967	5112	168
968	5116	163
969	5122	158
970	5127	153
971	5132	147
972	5138	142
973	5143	137
974	5148	132
975	5152	126
976	5156	121
977	5162	116
978	5166	110
979	5173	105
980	5178	100
981	5184	95
982	5189	89
983	5194	84
984	5200	79
985	5205	73
986	5210	68
987	5215	63
988	5220	58
989	5225	52
990	5230	47
991	5236	42
992	5241	36
993	5246	31
994	5252	26
995	5256	21
996	5262	15
997	5268	10
998	5272	5
999	5277	0
